Time, Values
2022-10-15 12:39, [5.555794429938656 0.04960530741016657]
2022-10-15 12:40, [5.550031185936915 0.050000280954386626]
2022-10-15 12:41, [5.528296794645176 0.05118793328375163]
2022-10-15 12:42, [5.790236244721573 0.050349880388883245]
2022-10-15 12:43, [5.7908293356333695 0.04949426782592624]
2022-10-15 12:44, [5.816408870834698 0.05193222206102409]
2022-10-15 12:45, [5.841203764601625 0.04950172681865784]
2022-10-15 12:46, [5.539772438472271 0.04616477032060226]
2022-10-15 12:47, [5.451950403945818 0.048247348707485115]
2022-10-15 12:48, [5.437258257516506 0.05081549773379912]
2022-10-15 12:49, [5.503773191108551 0.05395856069714266]
2022-10-15 12:50, [5.434416880469751 0.052254008466055296]
2022-10-15 12:51, [5.339739804776719 0.05339739804776719]
2022-10-15 12:53, [5.434923066963764 0.052258875643882347]
2022-10-15 12:54, [5.533769708515306 0.05220537460863497]
2022-10-15 12:55, [5.5234044901949035 0.05753546343953025]
2022-10-15 12:58, [5.445786693383635 0.05089520274190313]
2022-10-15 13:03, [5.347531155438846 0.051418568802296595]
2022-10-15 13:04, [5.442757616054407 0.05284230695198453]
2022-10-15 13:06, [5.382820208517885 0.04763557706652996]
2022-10-15 13:07, [5.389427744533918 0.04769405083658334]
2022-10-15 13:08, [5.789940520131071 0.05078895193097431]
2022-10-15 13:09, [5.539029609851024 0.0512873112023243]
2022-10-15 13:10, [5.528734837958888 0.052654617504370366]
2022-10-15 13:11, [5.544212618678347 0.052303892629041004]
2022-10-15 13:12, [5.71026557140562 0.05543947156704486]
2022-10-15 13:13, [5.533530824347651 0.054250302199486775]
2022-10-15 13:14, [5.544404099064546 0.050866092651968314]
2022-10-15 13:15, [5.5338012232214 0.049854065074066665]
2022-10-15 13:16, [5.84940842820686 0.051764676355812916]
2022-10-15 13:17, [5.790532515880966 0.04991838375759454]
2022-10-15 13:18, [5.890456390074405 0.05212793265552571]
2022-10-15 13:22, [5.440184241144016 0.04901066883913528]
2022-10-15 13:23, [5.448803744634561 0.04998902518013359]
2022-10-15 13:24, [5.442723744993087 0.053360036715618495]
2022-10-15 13:25, [5.373364407037828 0.0571634511387003]
2022-10-15 13:27, [5.26080799793352 0.05656782793476903]
2022-10-15 13:28, [5.370273499034879 0.05536364431994721]
2022-10-15 13:29, [5.439784717352783 0.05494732037730084]
2022-10-15 13:34, [5.341253685862903 0.05341253685862903]
2022-10-15 13:41, [5.52345396030957 0.04888012354256256]
2022-10-15 13:42, [5.818513599320268 0.049309437282375156]
2022-10-15 13:43, [5.952147718953428 0.04919130346242503]
2022-10-15 13:44, [6.041927425551139 0.049933284508687094]
2022-10-15 13:45, [5.9381350704353135 0.05119081957271822]
2022-10-15 13:46, [5.9513370354233635 0.049594475295194694]
2022-10-15 13:47, [5.818160886535143 0.049727870825086694]
2022-10-15 13:48, [5.381068104248519 0.05490885820661754]
2022-10-15 13:52, [5.391298601364633 0.05134570096537745]
2022-10-15 13:53, [5.43196301612958 0.05325453937381941]
2022-10-15 13:54, [5.442656024333621 0.05442656024333621]
2022-10-15 13:55, [5.389185049513718 0.05232218494673513]
2022-10-15 13:56, [5.308027840095888 0.05646838127761583]
2022-10-15 13:57, [5.434031458541483 0.05906555933197264]
2022-10-15 13:58, [5.518625894078316 0.05870878610721613]
2022-10-15 14:03, [5.339668562939892 0.05562154753062387]
2022-10-15 14:04, [5.338151868889018 0.05619107230409493]
2022-10-15 14:05, [5.3381342310413595 0.056788662032354886]
2022-10-15 14:06, [5.508048963467709 0.05678400993265679]
2022-10-15 14:10, [5.330369186099047 0.056706055171266465]
2022-10-15 14:11, [5.5141441934636575 0.05804362308909113]
2022-10-15 14:12, [5.523740983042959 0.054154323363166265]
2022-10-15 14:13, [5.549898947228903 0.05091650410301746]
2022-10-15 14:18, [5.345957109184632 0.05140343374215993]
2022-10-15 14:19, [5.441299365487327 0.04690775315075282]
2022-10-15 14:20, [5.4551234752833 0.04702692651106293]
2022-10-15 14:21, [5.726038908894961 0.0561376363617153]
2022-10-15 14:22, [5.7457627211188145 0.051763628118187514]
2022-10-15 14:23, [5.52345396030957 0.04888012354256256]
2022-10-15 14:24, [5.544723742201416 0.04863792756317032]
2022-10-15 14:25, [5.550163533825058 0.049116491449779275]
2022-10-15 14:26, [5.544531879843819 0.049950737656250625]
2022-10-15 14:27, [5.788763047365255 0.05262511861241141]
2022-10-15 14:28, [5.523684851826683 0.05468994902798696]
2022-10-15 14:29, [5.428756684022136 0.05775273068108655]
2022-10-15 14:30, [5.30189215877698 0.05957182200873011]
2022-10-15 14:31, [5.38305329911186 0.05437427574860465]
2022-10-15 14:32, [5.362569801295488 0.05766204087414504]
2022-10-15 14:34, [5.383146690336983 0.05226356010035906]
2022-10-15 14:35, [5.550362260764837 0.0478479505238348]
2022-10-15 14:36, [5.545274354220714 0.0482197769932236]
2022-10-15 14:37, [5.539029609851024 0.0512873112023243]
2022-10-15 14:38, [5.4399177813408786 0.052814735741173575]
2022-10-15 14:39, [5.339686370431007 0.05504831309722688]
2022-10-15 14:40, [5.41799312719893 0.05763822475743542]
2022-10-15 14:41, [5.341289656809119 0.052365584870677634]
2022-10-15 14:42, [5.381160345691109 0.05275647397736381]
2022-10-15 14:44, [5.387146884968019 0.05230239694143708]
2022-10-15 14:45, [5.523740983042959 0.054154323363166265]
2022-10-15 14:47, [5.544340246851714 0.0513364837671455]
2022-10-15 14:48, [5.389185049513718 0.05232218494673513]
2022-10-15 14:52, [5.443028842502649 0.04903629587840224]
2022-10-15 14:53, [5.7908293356333695 0.04949426782592624]
